,title,abstract,publication_date,doi,authors,source,url,search_string,database
10,Research on carbon price in emissions trading scheme: a bibliometric analysis,"Based on the Web of Science database, this paper uses the bibliometric method to analyze the characteristics of the most relevant studies of carbon price in emissions trading scheme. Researchers have shed light on this research field since 1994. The USA and China occupy the leading research position in this field. The most productive journal is Energy Policy and the most productive author is Chevallier J. Chinese Academy of Sciences is the institution with the most publications related to carbon price. Cooperation analysis shows that the cooperation between authors, institutions and countries is constantly growing. We find out that carbon price fluctuation, influencing factors of carbon price, price mechanism of the carbon market, theory analysis of carbon pricing policy and carbon price effects are the main areas of research focus. Also, we detect that different policies, emissions level and energy prices are the main influencing factors on carbon price.",2019-12-01,10.1007/s11069-018-3433-6,"['Ji, Chang-Jing', 'Li, Xiao-Yi', 'Hu, Yu-Jie', 'Wang, Xiang-Yu', 'Tang, Bao-Jun']",Natural Hazards,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11069-018-3433-6,"(""agr*"") AND (""emissions permit trade"")",springer
11,On the Strategic Effect of International Permits Trading on Local Pollution,"We introduce a model of strategic environmental policy where two firms compete à la Cournot in a third market in the presence of multiple pollutants. Two types of pollutants are introduced: a local and a transboundary one. The regulator can only control local pollution as transboundary pollution is regulated internationally. We illustrate that when transboundary pollution is regulated through the use of tradable emission permits instead of non-tradable ones then a new strategic effect appears which has not been identified thus far. In this case, local pollution increases further. We caution that linking permit markets across regions may be welfare detrimental. We also provide evidence from the implementation of EU ETS over the pollution of particulate matters ( $$PM_{10}$$ P M 10 and $$PM_{2.5})$$ P M 2.5 ) .",2019-11-01,10.1007/s10640-019-00369-0,"['Antoniou, Fabio', 'Kyriakopoulou, Efthymia']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-019-00369-0,"(""agr*"") AND (""emissions permit trade"")",springer
12,Building Climate Coalitions on Preferential Free Trade Agreements,"In this paper we discuss the endogenous formation of climate coalitions in an issue-linkage regime. In particular, we propose a preferential free trade agreement on which a climate coalition should be built. The basic idea is that the gains of free trade can provide strong incentives for countries to join the coalition. As a framework, a multi-stage strategic trade model is employed in which each country may set an emission cap being effective on a permit market. In addition, a discriminatory import tariff may be imposed on dirty goods. However, at the heart of our approach is a preferential free trade arrangement among the members of a climate coalition leading to a favourable shift in the terms of trade. As a main result, trade liberalisation is found as an institution highly effective in building climate coalitions. In particular, the parametrical simulation of the model shows that participation in joint emission reduction is higher, consumption patterns are more environmentally friendly, and coalitional welfare is much more improved than in case of a single-issue environmental agreement.",2019-10-01,10.1007/s10640-019-00331-0,"['Kuhn, Thomas', 'Pestow, Radomir', 'Zenker, Anja']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-019-00331-0,"(""agr*"") AND (""emissions permit trade"")",springer
13,Optimal Abatement Technology Licensing in a Dynamic Transboundary Pollution Game: Fixed Fee Versus Royalty,"Transboundary pollution poses a major threat to environment and human health. An effective approach to addressing this problem is the adoption of long-term abatement technology; however, many developing regions are lacking in related technologies that can be acquired by licensing from developed regions. This study focuses on a differential game model of transboundary pollution between two asymmetric regions, one of which possesses advanced abatement technology that can reduce the abatement cost and licenses this technology to the other region by royalty or fixed-fee licensing. We characterize the equilibrium decisions in the regions and find that fixed-fee licensing is superior to royalty licensing from the viewpoint of both regions. The reason is that under fixed-fee licensing, the regions can gain improved incremental revenues and incur reduced environmental damage. Subsequently, we analyze the steady-state equilibrium behaviors and the effects of parameters on the licensing performance. The analysis indicates that the myopic view of the regions leads to short-term revenue maximization, resulting in an increase in total pollution stock. Moreover, a high level of abatement technology or emission tax prompts the licensee region to choose fixed-fee approach, which is beneficial both economically and environmentally for two regions.",2019-07-23,10.1007/s10614-019-09909-8,"['Xu, Hao', 'Tan, Deqing']",Computational Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10614-019-09909-8,"(""agr*"") AND (""emissions permit trade"")",springer
14,Double Free-Riding in Innovation and Abatement: A Rules Treaty Solution,"In addressing climate change, both abatement itself and the innovation of superior abatement technologies are exposed to free-riding. To examine this double free-riding problem, we develop a multi-country model with an international market for emission permits and licenses for abatement technologies. We show that the two problems are mutually reinforcing. To address the double free-riding problem we propose a rules treaty for innovation and abatement that consists of two rules, an allocation rule and a refunding rule. The allocation rule determines the share of issued emission permits that each country can directly allocate to its domestic firms, while the remainder is handed over to an international agency. The refunding rule determines how the agency’s revenues from selling these permits to firms are redistributed. A fraction is given to those countries that successfully develop superior abatement technologies provided they license the technology free of charge to all countries. The remaining revenues are redistributed to all countries. These rules can approximate globally optimal abatement and innovation levels.",2019-06-01,10.1007/s10640-018-0270-8,"['Gersbach, Hans', 'Oberpriller, Quirin', 'Scheffel, Martin']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-018-0270-8,"(""agr*"") AND (""emissions permit trade"")",springer
15,"Which performs better under trader settings, double auction or uniform price auction?","A marketable permit system (MPS) has been suggested as a solution to environmental problems. Although the properties of MPSs under non-trader settings, in which each player is exclusively either a seller or a buyer, are well documented, little research has explored how MPSs perform under trader settings, in which each player can be both a seller and a buyer. We institute two auctions of trader settings in MPS experiments: a double auction (DA) and a uniform price auction (UPA). We then evaluate and compare their performances both with each other and with those under non-trader settings. The main results are as follows: DAs under trader settings perform much worse than do DAs under non-trader settings, whereas UPAs perform well, regardless of the trader and non-trader settings. UPAs are more efficient and generate more stable prices than do DAs under trader settings, and a considerable proportion of trades in DAs under trader settings consist of “flips” that could be considered speculation or errors. Thus, UPAs are likely to work better than DAs under trader settings.",2019-03-15,10.1007/s10683-018-9585-0,"['Kotani, Koji', 'Tanaka, Kenta', 'Managi, Shunsuke']",Experimental Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10683-018-9585-0,"(""agr*"") AND (""emissions permit trade"")",springer
16,The Limit of Global Carbon Tax and its Climatic and Economic Effects,"Global carbon tax has been widely studied for a long time. However, its economic feasibility in specific countries and sectors has not been taken seriously. This study focuses on the limit of carbon tax in carbon reduction and its economic and climatic impacts. To accurately predict the economic impact of carbon tax for assessing its feasibility, a climatic-economic IAM named CIECIA is applied and improved by adding a carbon tax module. In this model, two levy types of carbon tax with an adjustable revenue distribution mode are designed. On the basis of this, the emission reduction limits of carbon tax and its economic and climatic effects are simulated. The results indicate that carbon tax reduces emissions in two ways: directly, by reducing the output of high-emission sectors, and indirectly, by promoting the adoption of low-carbon technologies. Global carbon tax can achieve the $$2\,{^{\circ }}\hbox {C}$$ 2 ∘ C climate mitigation target under a national independent mode, whereas under a global uniform mode, the limit of temperature control is around $$2.46\,{^{\circ }}\hbox {C}$$ 2.46 ∘ C . As the cost of carbon reduction, the economic loss is also significant, especially in developing countries. Investing R&D by using carbon tax revenue is an effective way to both reduce emissions further and ease economic loss. On the basis of this, we propose a Pareto improving scheme that both ensures the economic benefits of all participating countries and achieves climate mitigation targets.",2019-01-31,10.1007/s10614-017-9735-z,"['Gu, Gaoxiang', 'Wang, Zheng']",Computational Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10614-017-9735-z,"(""agr*"") AND (""emissions permit trade"")",springer
17,Methods of Environmental Risk Management for Land Contamination Problems: Suggestions for Japan,"In Japan, the Soil Contamination Countermeasures Act was enacted in 2002. Since then, implementation of the required countermeasures to tackle land contamination in urban areas has improved considerably. However, the pollution of soil on private land may spread undetected. Moreover, contaminated land may be left untreated because ridding soil of contamination is very expensive. Therefore, further countermeasures to reduce the environmental risk of land contamination in urban areas are necessary. This study’s purpose is to suggest methods of environmental risk management for urban land contamination in Japan. First, we consider sources of contamination, differentiating point sources and nonpoint sources, to evaluate how best to manage the environmental risk of land contamination. The characteristics of these two source types are explained through the concept of transaction costs. Second, we discuss how Japan has approached land contamination problems and adopted regulations since the period of high economic growth. We also briefly discuss foreign countries’ regulations. We then examine what kinds of typical environmental policy measures are effective in environmental risk management for land contamination. Finally, we suggest practical methods of environmental risk management for land contamination in urban areas. This requires efficient methods to reduce contamination with low transaction costs. In particular, the costs of monitoring and enforcing to reduce contamination caused by nonpoint sources are high. Therefore, it is important to manage these sources appropriately.",2019-01-01,10.1007/978-981-13-7619-1_9,"['Ebisu, Miwa', 'Hagihara, Kiyoko']",Building Resilient Regions,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-13-7619-1_9,"(""agr*"") AND (""emissions permit trade"")",springer
18,"Economics of the Green Climate Fund, Paris Agreements, and Global Funds and Currencies: An Overview","This introductory chapter poses the central question of this book and provides an overview of the chapters that follow. The challenges faced by global decision-makers of allocating the Green Climate Fund (GCF) funds justifiably to a set of selected projects are very high but underappreciated. This book elucidates these challenges and addresses them by laying out an analytical framework for the GCF and providing an evaluation Evaluation of each of the GCF-funded projects, which totals 93 projects and US$ 4.6 billion as of November 2018. For empirical evaluations, this book takes a novel step by putting together four scientific traditions of climate change that have produced quantitative results and predictions that are highly pertinent to the GCF funding decisions Funding decisions . This book extends the analysis of the GCF to other global funds whose areas of funding may overlap those of the GCF such as the United Nations specialized funds and programs, the European Union’s carbon dioxide emissions allowance trading.",2019-01-01,10.1007/978-3-030-18274-8_1,"['Seo, S. Niggol']",The Economics of Global Allocations of the Green Climate Fund,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-18274-8_1,"(""agr*"") AND (""emissions permit trade"")",springer
19,A Comparison of Environmental Policy Instruments,"In this chapter, the main instruments of environmental policy are considered. In particular, the advantages that price-based instruments, i.e. emission taxes and cap-and-trade systems, are expected to have over command-and-control approaches are described and the problems that may occur with emission pricing are illuminated. The chapter also refers to practical experiences that have been made with the application of price-based instruments and explains why – despite their basic advantages – these instruments have to be complemented by other measures.",2019-01-01,10.1007/978-3-030-16268-9_4,"['Buchholz, Wolfgang', 'Rübbelke, Dirk']",Foundations of Environmental Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-16268-9_4,"(""agr*"") AND (""emissions permit trade"")",springer
20,Consumption and Green Transformation and Development,"Development is inseparable from consumption, and green development is inseparable from green consumption. There are many interpretations of green consumption, but in short, green consumption is consumption based on resource conservation, environmental friendliness and ecological conservation. China is in the process of rapid industrialization and urbanization, and is also in the process of the general and significant increase in the income of the people. Consumption growth is inevitable, and it is also the internal driving force for development, especially economic development. However, it should be noted that due to various reasons, Chinese government and household consumption have many aspects incompatible with green development. Accelerating green consumption transformation is an important basis for ensuring green transformation and development. Therefore, we should accelerate the green consumption transformation from the aspects of building green consumption social atmosphere, establishing and perfecting green consumption system, issuing green consumption policy, perfecting green product standard and increasing the supply of green products and services.",2019-01-01,10.1007/978-981-32-9495-0_8,"['Gu, Shuzhong', 'Xie, Meie', 'Zhang, Xinhua']",Green Transformation and Development,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-32-9495-0_8,"(""agr*"") AND (""emissions permit trade"")",springer
21,Overview of Chinese Pilots ETS and Characteristics,"For the purpose of fulfilling China’s carbon emissions reduction targets by 2020 through a cost-efficient market mechanism, and expediting transformation of economic growth pattern and upgrading industrial structure, China’s State Council, at the end of 2011, issued the Work Plan for Greenhouse Gas Emissions Control during the 12th Five - Year Plan Period , which requires to “explore and establish a national unified carbon emissions trading market.” In response to the State Council’s plan, the NDRC, in October 2011, initiated a carbon emissions trading pilot program in seven regions, including five municipalities as Beijing, Tianjin, Shanghai, Chongqing, and Shenzhen, and two provinces as Hubei and Guangdong, the earliest pilot ETS which open its carbon market is Shenzhen ETS in June, 2013, and the latest launched is Chongqing ETS in June 2014.",2019-01-01,10.1007/978-981-13-1888-7_3,"['Zhao, Daiqing', 'Wang, Wenjun', 'Luo, Zhigang']",A Brief Overview of China’s ETS Pilots,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-13-1888-7_3,"(""agr*"") AND (""emissions permit trade"")",springer
22,The Development of the Qianhai Cooperation Zone from the Perspective of Institutional Innovation,"The Qianhai Shenzhen-Hong Kong Modern Service Industry Cooperation Zone is the bridgehead of new-round reform and opening up, and institutional innovation is the core for the development and opening up of the Qianhai Area. This paper analyzes the functions and location of institutional innovation in the Qianhai Area by introducing the fundamental theories of institutional innovation; it also summarizes the stage achievements obtained by the Qianhai Area from institutional innovation, and further puts forward the choice of route towards the institutional innovation of the Qianhai Area.",2019-01-01,10.1007/978-981-13-6675-8_8,"['Wei, Yong']",Studies on China's Special Economic Zones 2,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-13-6675-8_8,"(""agr*"") AND (""emissions permit trade"")",springer
23,Report on the Green Transformative Development of Industries in China’s Special Economic Zones,"In order to promote the ecological civilization construction of industries, carry out the spirit of the Fifth Plenary Session of the 18th Central Committee of the Communist Party of China and the five major development philosophies, including innovation, coordination, greenness, openness and sharing, it is necessary to resolutely boost green development and push forward industrial transformation and upgrading. As China is entering the era of green transformation and development, the five major special economic zones are actively putting in practice the important path of green development, transformative development, innovative development, harmonious development which have produced preliminary effects.",2019-01-01,10.1007/978-981-13-6705-2_2,"['Yuan, Yiming', 'Yan, Zhenkun', 'Li, Xuan']",Annual Report on The Development of China's Special Economic Zones (2017),http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-13-6705-2_2,"(""agr*"") AND (""emissions permit trade"")",springer
24,Countermeasures Against Climate Change Constraints for Energy Development,"Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental agency founded in the year of 1988 by World Meteorological Organization (WMO) and United Nations Environment Programme (UNEP) to evaluate the current situation of scientific knowledge about climate changes, the impacts of climate changes on societies and economies, and the possible countermeasures for adaption to and mitigation of climate changes.",2019-01-01,10.1007/978-981-10-8304-4_5,"['Yang, Fan', 'Tan, Jie']",Constraints and Solutions for Energy and Electricity Development,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-10-8304-4_5,"(""agr*"") AND (""emissions permit trade"")",springer
25,Review of comparative studies on market mechanisms for carbon emission reduction: a bibliometric analysis,"This study uses the bibliometric method to analyze the comparative studies on different market mechanisms applied to carbon reduction between 1970 and 2016 based on the online databases of Science Citation Index Expanded (1970–2016) and Social Science Citation Index (2002–2016). We found by observing the characteristics of publications that such studies belong to a multidisciplinary field that has been continuously developing since the 1990s. The USA and the UK have maintained their leading research strengths in the field, whereas China entered late but has developed rapidly. The most productive journal, institution, and author in this field are Energy Policy, Resources for the Future, and Pizer from the USA, respectively. The auctorial and institutional cooperation degrees are growing and still have a broad collaboration space, but the cooperation among countries is fluctuating at a lower level. Nonetheless, the USA keeps its significant international cooperation ties. The bibliographic coupling and co-citation analysis reveals that articles in this field are closely related to one another. The basic literature in the field was written by Weitzman and published in 1974, and the article by Nordhaus published in Science in 1992 is the most cited in the field. The analysis of keywords and abstract shows that the hot spots include policy choice, price-versus-quantity analysis, and mechanism design.",2018-12-01,10.1007/s11069-018-3445-2,"['Wang, Xiang-Yu', 'Tang, Bao-Jun']",Natural Hazards,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11069-018-3445-2,"(""agr*"") AND (""emissions permit trade"")",springer
26,The Potential Gains from Carbon Emissions Trading in China’s Industrial Sectors,"The command and control mechanism and the market trading mechanism have been adopted by Chinese government to reduce the industrial carbon emissions. Concerns have arisen over which policy is more effective and what are the potential gains from carbon emissions trading for industrial sectors. A Data Envelopment Analysis based linear programming technology is used to compare the industrial potential gains including both the economic potential gains and the environmental potential gains from the command and control and carbon emissions trading mechanisms. An empirical study containing the data set of 38 sub-industries in China from 2006–2014 is conducted. The empirical results show that the carbon emissions trading mechanism can produce more potential gains compared with the command and control mechanism, with an average of 69.6 and 92.0% economic potential gains and 49.1 and 21.0% environmental potential gains in terms of the overall level and industrial level, respectively. Additionally, the environmental potential gains of each sub-industry can provide theoretical support for the emission quotas allocation. Finally, several policy implications based on the empirical results are proposed.",2018-12-01,10.1007/s10614-017-9724-2,"['Yu, Yanni', 'Zhang, Weijie', 'Zhang, Ning']",Computational Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10614-017-9724-2,"(""agr*"") AND (""emissions permit trade"")",springer
27,Emission Trading with Fiscal Externalities: The Case for a Common Carbon Tax for the Non-ETS Emissions in the EU,"A government is fiscally constrained if it is unable to raise sufficient tax revenue to finance the first-best level of public spending. When involved in emission trading, a fiscally constrained government will potentially seek to close its fiscal gap through emission permit sales. This fiscal incentive therefore generates a fiscal externality in the permit market that is endogenous to the extent of fiscal constrainedness among the participating countries. Our theory explains how, and when, fiscal externalities may be expected to arise. Moreover, we show that in a permit market equilibrium with fiscal externalities, the initial allocation of emission permits between countries will affect: (1) the price of emission permits, (2) the global distribution of abatement effort, and (3) total greenhouse gas mitigation costs. This is contrary to the textbook model of emission permit markets. Our findings are especially relevant for the EU which is about to allow for trading in emission rights between EU member countries for all emissions outside the European Emissions Trading System.",2018-11-01,10.1007/s10640-017-0184-x,"['Andersen, Jørgen Juel', 'Greaker, Mads']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-017-0184-x,"(""agr*"") AND (""emissions permit trade"")",springer
28,Optimal Abatement and Emission Permit Trading Policies in a Dynamic Transboundary Pollution Game,"We obtain optimal emission levels and abatement expenditures in a finite-horizon transboundary pollution game with emission trading between two regions. We show that emission trading has significant impact on the optimal strategies and profits of the two regions. We find that cooperation between the regions leads to increased abatement and lower emissions, resulting in a lower pollution stock. We also provide a stochastic extension in which the pollution stock and the emission trading price are diffusion processes and solve it numerically.",2018-09-01,10.1007/s13235-018-0260-z,"['Chang, Shuhua', 'Sethi, Suresh P.', 'Wang, Xinyu']",Dynamic Games and Applications,http://link.springer.com/openurl/pdf?id=doi:10.1007/s13235-018-0260-z,"(""agr*"") AND (""emissions permit trade"")",springer
